,red,white
13.0165,27.43348272072202,7.239926762921206
27.7,40.895853359255895,0.0
42.1665,0.5087414436542684,0.0
56.6335,2.7524698834099146,16.21484052194379
71.1,0.5087414436542684,4.996198323165561
85.5665,2.7524698834099146,25.189754280966373
100.0335,0.0,31.92093960023331
114.5,0.5087414436542684,34.16466803998896
128.9665,0.0,43.139581799011545
143.4335,0.0,36.4083964797446
157.9,4.996198323165561,22.946025841210727
172.3665,0.0,49.87076711827848
186.8335,0.0,13.971112082188144
201.3,13.971112082188144,13.971112082188144
215.7665,16.21484052194379,27.43348272072202
230.2335,2.7524698834099146,0.0
244.7,0.0,18.458568961699434
259.1665,0.0,0.0
273.6335,0.0,18.458568961699434
288.1,18.458568961699434,0.0
302.5665,18.458568961699434,0.0
317.0335,0.0,0.0
331.5,0.0,0.0
345.9665,0.0,0.5087414436542684
360.4335,0.0,0.0
374.9,13.971112082188144,0.0
389.3665,4.996198323165561,31.92093960023331
403.8335,0.5087414436542684,0.0
418.3,0.0,0.5087414436542684
432.7665,11.727383642432498,20.70229740145508
