, <=50K, >50K
 Bachelors,206.23946584925326,15.696771153396858
 HS-grad,294.18224801657163,0.0
 11th,21.559623297884748,39.148179731348414
 Masters,9.833919008908968,77.2567186705197
 9th,0.0,42.079605803592365
 Some-college,200.3766137047654,42.079605803592365
 Assoc-acdm,59.66816223705603,0.0
 Assoc-voc,9.833919008908968,0.0
 7th-8th,27.422475442372637,0.0
 Doctorate,12.765345081152912,24.491049370128692
 Prof-school,62.599588309299975,94.84527510398337
 5th-6th,0.0,45.01103187583631
 10th,39.148179731348414,0.0
 1st-4th,0.0,59.66816223705603
 Preschool,0.0,0.0
 12th,15.696771153396858,0.0
