, <=50K, >50K
 Bachelors,146.05215945591834,41.009336615971826
 HS-grad,385.02458141679665,17.374701476983862
 11th,14.748630905985202,9.496489763987876
 Masters,33.13112490297584,41.009336615971826
 9th,12.122560334986538,22.62684261898119
 Some-college,224.83427658587823,27.878983760978514
 Assoc-acdm,59.391830612962465,0.0
 Assoc-voc,17.374701476983862,30.505054331977178
 7th-8th,17.374701476983862,0.0
 Doctorate,6.870419192989213,27.878983760978514
 Prof-school,46.26147775796915,25.252913189979854
 5th-6th,0.0,4.24434862199055
 10th,22.62684261898119,0.0
 1st-4th,0.0,12.122560334986538
 Preschool,48.88754832896782,17.374701476983862
 12th,41.009336615971826,0.0
