, <=50K, >50K
 Bachelors,235.55372657169272,0.0
 HS-grad,314.70223052227925,24.491049370128692
 11th,30.35390151461658,39.148179731348414
 Masters,1.039640792177133,71.39386652603181
 9th,0.0,42.079605803592365
 Some-college,241.41657871618062,18.628197225640804
 Assoc-acdm,62.599588309299975,0.0
 Assoc-voc,0.0,0.0
 7th-8th,27.422475442372637,0.0
 Doctorate,9.833919008908968,24.491049370128692
 Prof-school,59.66816223705603,86.05099688725153
 5th-6th,0.0,47.94245794808025
 10th,36.21675365910447,0.0
 1st-4th,0.0,59.66816223705603
 Preschool,0.0,0.0
 12th,12.765345081152912,0.0
