, <=50K, >50K
 Bachelors,162.4142160358162,83.6653314858394
 HS-grad,382.9110927757512,56.665713925847356
 11th,0.0,0.0
 Masters,43.16590514585134,27.416128235855982
 9th,9.416383195861288,31.916064495854656
 Some-college,229.91325993579628,29.666096365855317
 Assoc-acdm,34.166032625853994,0.0
 Assoc-voc,49.91580953584935,4.916446935862615
 7th-8th,20.66622384585797,0.0
 Doctorate,0.0,13.916319455859961
 Prof-school,16.166287585859298,49.91580953584935
 5th-6th,0.0,27.416128235855982
 10th,4.916446935862615,0.0
 1st-4th,2.666478805863278,0.0
 Preschool,0.0,31.916064495854656
 12th,29.666096365855317,0.0
