,red,white
0.0268,36.627082426499975,7.841102501381865
0.0832,42.384278411523596,0.0
0.1385,7.841102501381865,4.962504508870055
0.1935,36.627082426499975,2.083906516358244
0.249,62.53446435910627,4.962504508870055
0.3045,7.841102501381865,74.04885632915352
0.3595,22.23409246394092,65.41306235161808
0.415,45.26287640403541,45.26287640403541
0.4705,36.627082426499975,0.0
0.5255,10.719700493893676,10.719700493893676
0.581,59.65586636659446,13.598298486405488
0.6365,0.0,33.74848443398816
0.6915,0.0,4.962504508870055
0.747,0.0,0.0
0.8025,0.0,0.0
0.8575,4.962504508870055,0.0
0.913,25.112690456452732,0.0
0.9685,48.14147439654722,25.112690456452732
1.0235,19.355494471429108,13.598298486405488
1.079,0.0,0.0
1.1345,0.0,25.112690456452732
1.1895,4.962504508870055,2.083906516358244
1.245,0.0,13.598298486405488
1.3005,0.0,0.0
1.3555,0.0,0.0
1.411,7.841102501381865,0.0
1.4665,0.0,0.0
1.5215,0.0,27.991288448964543
1.577,0.0,0.0
1.6325,48.14147439654722,2.083906516358244
