, <=50K, >50K
70.422,12750.359799593441,3486.590758468425
217.79999999999998,281.281019846147,0.0
363.0,43.24682765954851,147.59058313860538
508.2,310.6277010746317,294.32398928102907
653.4,216.06617267173644,105.20093247523852
798.6,26.943115865945877,101.940190116518
943.8,0.0,0.0
1089.0,0.0,46.507570018269035
1234.1999999999998,493.2292731629812,101.940190116518
1379.4,366.06032117288066,0.0
1524.6,281.281019846147,0.0
1669.8000000000002,134.54761370372327,0.0
1815.0,0.0,0.0
1960.1999999999998,0.0,183.45874908453118
2105.4,470.40407665193754,0.0
2250.6,20.421631148504822,98.67944775779746
2395.8,0.0,53.02905473571009
2541.0,0.0,0.0
2686.2,79.11499360547431,0.0
2831.4,118.24390191012063,0.0
2976.6,0.0,59.550539453151146
3121.8,216.06617267173644,0.0
3267.0,330.19215522695487,0.0
3412.2,157.37281021476696,0.0
3557.4,150.8513254973259,0.0
3702.6,0.0,46.507570018269035
3847.8,339.97438230311644,0.0
3993.0,0.0,23.68237350722535
4138.2,0.0,0.0
4283.4,75.85425124675378,118.24390191012063
