volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,color
0.705,0.0268,1.654,0.0792,15.4,27.7,0.998,3.5155,0.5465,9.495,red
0.855,0.0268,1.654,0.0992,25.0,71.1,0.9965,3.2145,0.665,9.725,red
0.755,0.0268,1.654,0.0992,15.4,56.6335,0.9965,3.2575,0.665,9.725,red
0.255,0.581,1.654,0.0792,15.4,56.6335,0.998,3.1715,0.6055,9.725,red
0.705,0.0268,1.654,0.0792,15.4,27.7,0.998,3.5155,0.5465,9.495,red
0.655,0.0268,1.654,0.0792,15.4,42.1665,0.998,3.5155,0.5465,9.495,red
0.605,0.0832,1.654,0.0591,15.4,56.6335,0.9965,3.3005,0.487,9.495,red
0.655,0.0268,1.654,0.0591,15.4,27.7,0.995,3.3865,0.487,9.955,red
0.555,0.0268,1.654,0.0792,5.656,13.0165,0.9965,3.3435,0.5465,9.495,red
0.505,0.3595,6.0335,0.0792,15.4,100.0335,0.998,3.3435,0.7835,10.415,red
0.555,0.0832,1.654,0.0992,15.4,71.1,0.9965,3.3005,0.5465,9.265,red
0.505,0.3595,6.0335,0.0792,15.4,100.0335,0.998,3.3435,0.7835,10.415,red
0.605,0.0268,1.654,0.0792,15.4,56.6335,0.995,3.5585,0.5465,9.955,red
0.605,0.3045,1.654,0.119,5.656,27.7,0.9965,3.2575,1.555,9.035,red
0.605,0.1935,3.86,0.18,53.8,143.4335,0.998,3.1715,0.9025,9.265,red
0.605,0.1935,3.86,0.18,53.8,143.4335,0.998,3.1715,0.9025,9.265,red
0.255,0.581,1.654,0.0992,34.6,100.0335,0.9965,3.3005,0.7245,10.415,red
0.555,0.3045,1.654,0.36,15.4,56.6335,0.9965,3.1285,1.2585,9.265,red
0.605,0.0832,3.86,0.0792,5.656,27.7,0.9965,3.3865,0.487,9.035,red
0.305,0.5255,1.654,0.34,15.4,56.6335,0.9965,3.0425,1.0805,9.265,red
0.205,0.4705,1.654,0.0792,25.0,56.6335,0.9965,3.3865,0.5465,9.495,red
0.405,0.3045,1.654,0.0792,25.0,71.1,0.998,3.5155,0.665,9.725,red
0.405,0.1935,1.654,0.0992,5.656,42.1665,0.9965,3.1715,0.9025,9.495,red
0.505,0.0832,1.654,0.0792,5.656,71.1,0.9965,3.1715,0.5465,9.495,red
0.405,0.1385,1.654,0.0792,25.0,42.1665,0.9965,3.4295,0.6055,9.725,red
0.405,0.1385,1.654,0.0792,15.4,27.7,0.995,3.3435,0.5465,9.265,red
0.405,0.249,1.654,0.0792,5.656,13.0165,0.9965,3.3005,0.6055,9.495,red
0.405,0.1935,1.654,0.0992,5.656,42.1665,0.9965,3.1715,0.9025,9.495,red
0.705,0.0268,1.654,0.0792,15.4,42.1665,0.9965,3.4725,0.5465,9.495,red
0.655,0.0268,1.654,0.0792,5.656,13.0165,0.9965,3.3865,0.6055,9.725,red
0.655,0.0832,1.654,0.0792,15.4,85.5665,0.9965,3.3435,0.5465,10.185,red
0.705,0.0268,1.654,0.0992,25.0,42.1665,0.9965,3.4725,0.5465,10.645,red
0.655,0.1385,1.654,0.0792,15.4,114.5,0.9965,3.1715,0.665,9.725,red
0.605,0.1385,10.38,0.0792,44.2,85.5665,1.0,3.4295,0.5465,9.495,red
0.305,0.249,1.654,0.0992,15.4,56.6335,0.995,3.3865,0.5465,9.265,red
0.655,0.0268,6.0335,0.0792,5.656,13.0165,0.998,3.3865,0.5465,9.495,red
0.605,0.1385,1.654,0.0792,5.656,13.0165,0.998,3.4295,0.6055,10.875,red
0.355,0.3045,1.654,0.0591,15.4,27.7,0.9965,3.2145,0.7245,9.725,red
1.105,0.0832,1.654,0.18,5.656,13.0165,0.993,3.5155,0.487,9.725,red
0.455,0.3595,6.0335,0.0792,15.4,85.5665,0.998,3.3435,0.843,10.415,red
0.455,0.3595,6.0335,0.0792,15.4,85.5665,0.998,3.3435,0.843,10.415,red
0.605,0.3045,3.86,0.0792,15.4,42.1665,0.998,3.2575,0.487,9.265,red
0.505,0.1935,1.654,0.34,5.656,13.0165,0.9965,3.2145,0.9025,10.415,red
0.655,0.1935,1.654,0.0591,5.656,27.7,0.9965,3.3005,1.199,10.185,red
0.655,0.0268,1.654,0.0591,5.656,13.0165,0.9965,3.4725,0.5465,9.495,red
0.505,0.1385,1.654,0.0591,5.656,71.1,0.993,3.9025,0.5465,13.175,red
0.955,0.415,1.654,0.119,25.0,114.5,0.9965,3.2575,0.7245,9.265,red
0.305,0.5255,1.654,0.119,15.4,42.1665,0.9965,3.2575,0.6055,9.495,red
0.405,0.249,1.654,0.0591,5.656,13.0165,0.9965,3.3435,0.5465,9.265,red
0.305,0.3595,1.654,0.0792,15.4,100.0335,0.995,3.3005,0.6055,9.265,red
0.655,0.249,1.654,0.0792,5.656,27.7,0.9965,3.1285,0.7245,9.265,red
0.505,0.0268,1.654,0.0591,5.656,13.0165,0.995,3.3865,0.6055,9.495,red
0.505,0.0268,1.654,0.0591,5.656,13.0165,0.995,3.3865,0.665,9.495,red
0.355,0.3595,3.86,0.0792,34.6,114.5,0.9965,3.2145,0.5465,9.495,red
0.505,0.1385,3.86,0.119,34.6,71.1,0.995,3.1715,0.6055,10.185,red
0.605,0.0268,3.86,0.0792,25.0,42.1665,0.998,3.3435,0.5465,9.495,red
0.405,0.581,3.86,0.0792,5.656,13.0165,0.9965,3.0425,0.6055,9.495,red
0.605,0.1385,6.0335,0.119,53.8,114.5,0.998,3.2575,0.7835,9.495,red
0.605,0.1935,1.654,0.0792,15.4,56.6335,0.998,3.4295,0.6055,9.955,red
0.405,0.3045,1.654,0.0792,5.656,42.1665,0.9965,3.4295,0.5465,9.495,red
0.405,0.415,1.654,0.0792,15.4,56.6335,0.998,3.4295,0.665,9.265,red
0.705,0.4705,1.654,0.119,15.4,114.5,0.9965,3.2145,0.7245,9.265,red
0.505,0.1385,1.654,0.0792,15.4,42.1665,0.9965,3.3865,0.6055,9.495,red
0.755,0.0268,1.654,0.0792,15.4,56.6335,0.9965,3.3865,0.5465,9.725,red
0.705,0.0268,3.86,0.0792,5.656,13.0165,0.9965,3.4295,0.3685,10.875,red
0.705,0.0268,3.86,0.0792,5.656,13.0165,0.9965,3.4295,0.3685,10.875,red
0.505,0.0832,1.654,0.0792,15.4,42.1665,0.9965,3.4295,0.6055,9.495,red
0.705,0.0832,1.654,0.0792,5.656,13.0165,0.9965,3.4295,0.6055,10.645,red
0.305,0.581,1.654,0.0792,25.0,71.1,0.9965,3.3005,0.7835,10.645,red
0.705,0.0268,1.654,0.0792,5.656,13.0165,0.9965,3.3435,0.9615,10.415,red
0.605,0.0832,1.654,0.0792,15.4,27.7,0.9965,3.3005,0.5465,9.495,red
0.655,0.249,1.654,0.0792,15.4,100.0335,0.9965,3.3005,0.487,9.495,red
0.705,0.1935,1.654,0.0792,15.4,100.0335,0.9965,3.3005,0.487,9.495,red
0.655,0.249,1.654,0.0792,15.4,42.1665,0.998,3.3005,0.5465,9.265,red
0.305,0.5255,1.654,0.0992,25.0,85.5665,0.998,3.3005,0.843,9.495,red
