, <=50K, >50K
 Bachelors,236.19278294005142,0.0
 HS-grad,297.13541965094777,0.04006568532800384
 11th,133.3520834904138,137.16099828484482
 Masters,57.17378760179334,53.364872807362325
 9th,0.0,68.60053198508642
 Some-college,259.0462717066375,0.0
 Assoc-acdm,57.17378760179334,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,121.92533910712073,41.938128424069255
 Prof-school,53.364872807362325,144.77882787370686
 5th-6th,0.0,80.02727636837949
 10th,118.11642431268972,0.0
 1st-4th,0.0,53.364872807362325
 Preschool,0.0,0.0
 12th,22.89355445191414,30.511384040776186
