, <=50K, >50K
 Bachelors,196.16373798580625,76.9154270958414
 HS-grad,319.9119851357698,76.9154270958414
 11th,0.0,0.0
 Masters,47.66584140585001,43.16590514585134
 9th,7.166415065861951,31.916064495854656
 Some-college,229.91325993579628,49.91580953584935
 Assoc-acdm,47.66584140585001,0.0
 Assoc-voc,31.916064495854656,0.0
 7th-8th,29.666096365855317,0.0
 Doctorate,0.0,7.166415065861951
 Prof-school,9.416383195861288,61.16565018584603
 5th-6th,0.0,27.416128235855982
 10th,4.916446935862615,0.0
 1st-4th,0.0,0.0
 Preschool,2.666478805863278,31.916064495854656
 12th,45.41587327585068,0.0
