, <=50K, >50K
 Bachelors,138.30202916720918,67.57097038714693
 HS-grad,322.202781995371,67.57097038714693
 11th,0.0,0.0
 Masters,74.64407626515316,25.132335119109584
 9th,10.986123363097137,36.920844915786624
 Some-college,256.1871271339796,36.920844915786624
 Assoc-acdm,48.709354712463664,0.0
 Assoc-voc,46.351652753128256,0.0
 7th-8th,29.8477390377804,0.0
 Doctorate,13.343825322432545,20.416931200438768
 Prof-school,29.8477390377804,39.27854687512203
 5th-6th,0.0,20.416931200438768
 10th,6.27071944442632,0.0
 1st-4th,0.0,0.0
 Preschool,0.0,32.20544099711581
 12th,53.42475863113448,0.0
