,red,white
5.656,13.598298486405488,7.841102501381865
15.4,22.23409246394092,22.23409246394092
25.0,51.02007238905903,76.92745432166532
34.6,48.14147439654722,94.1990422767362
44.2,0.0,76.92745432166532
53.8,48.14147439654722,36.627082426499975
63.4,0.0,7.841102501381865
73.0,4.962504508870055,0.0
82.6,13.598298486405488,25.112690456452732
92.2,13.598298486405488,0.0
101.8,0.0,0.0
111.4,0.0,10.719700493893676
121.0,13.598298486405488,0.0
130.6,0.0,0.0
140.2,0.0,4.962504508870055
149.8,0.0,4.962504508870055
159.4,36.627082426499975,0.0
169.0,0.0,13.598298486405488
178.6,0.0,19.355494471429108
188.2,2.083906516358244,39.50568041901179
197.8,7.841102501381865,0.0
207.4,36.627082426499975,0.0
217.0,0.0,25.112690456452732
226.6,30.869886441476353,0.0
236.2,27.991288448964543,25.112690456452732
245.8,0.0,0.0
255.4,0.0,0.0
265.0,0.0,4.962504508870055
274.6,0.0,0.0
284.2,16.476896478917297,2.083906516358244
