, <=50K, >50K
 Bachelors,215.0337440659851,9.833919008908968
 HS-grad,344.0164912447187,9.833919008908968
 11th,53.80531009256814,39.148179731348414
 Masters,21.559623297884748,59.66816223705603
 9th,0.0,42.079605803592365
 Some-college,282.45654372759583,36.21675365910447
 Assoc-acdm,39.148179731348414,0.0
 Assoc-voc,0.0,0.0
 7th-8th,15.696771153396858,0.0
 Doctorate,9.833919008908968,30.35390151461658
 Prof-school,59.66816223705603,91.91384903173943
 5th-6th,0.0,45.01103187583631
 10th,42.079605803592365,0.0
 1st-4th,0.0,59.66816223705603
 Preschool,0.0,0.0
 12th,0.0,0.0
