, <=50K, >50K
 Bachelors,145.3751350452154,67.57097038714693
 HS-grad,333.99129179204806,69.92867234648234
 11th,0.0,0.0
 Masters,77.00177822448856,25.132335119109584
 9th,8.62842140376173,36.920844915786624
 Some-college,256.1871271339796,34.563142956451216
 Assoc-acdm,53.42475863113448,0.0
 Assoc-voc,51.06705667179907,0.0
 7th-8th,20.416931200438768,0.0
 Doctorate,13.343825322432545,27.490037078444992
 Prof-school,34.563142956451216,32.20544099711581
 5th-6th,0.0,20.416931200438768
 10th,10.986123363097137,0.0
 1st-4th,0.0,0.0
 Preschool,0.0,32.20544099711581
 12th,36.920844915786624,0.0
