,red,white
1.654,68.2916603441299,122.9850222018543
3.86,19.355494471429108,33.74848443398816
6.0335,0.0,62.53446435910627
8.2065,36.627082426499975,45.26287640403541
10.38,0.0,27.991288448964543
12.5535,22.23409246394092,0.0
14.7265,22.23409246394092,33.74848443398816
16.9,30.869886441476353,0.0
19.0735,13.598298486405488,19.355494471429108
21.2465,0.0,19.355494471429108
23.42,0.0,22.23409246394092
25.5935,13.598298486405488,0.0
27.7665,0.0,0.0
29.94,16.476896478917297,42.384278411523596
32.1135,0.0,0.0
34.2865,0.0,19.355494471429108
36.46,0.0,16.476896478917297
38.6335,0.0,0.0
40.8065,0.0,0.0
42.98,7.841102501381865,30.869886441476353
45.1535,0.0,33.74848443398816
47.3265,10.719700493893676,4.962504508870055
49.5,0.0,0.0
51.6735,0.0,7.841102501381865
53.8465,0.0,42.384278411523596
56.02,0.0,0.0
58.1935,0.0,0.0
60.3665,19.355494471429108,0.0
62.54,16.476896478917297,0.0
64.7135,0.0,0.0
