, <=50K, >50K
 Bachelors,213.33929417346528,0.0
 HS-grad,369.50480074513723,0.0
 11th,129.54316869598279,137.16099828484482
 Masters,60.98270239622437,64.79161719065539
 9th,0.0,68.60053198508642
 Some-college,251.42844211777552,0.0
 Assoc-acdm,49.5559580129313,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,118.11642431268972,45.74704321850028
 Prof-school,49.5559580129313,144.77882787370686
 5th-6th,0.0,80.02727636837949
 10th,144.77882787370686,0.0
 1st-4th,0.04006568532800384,53.364872807362325
 Preschool,0.0,0.0
 12th,0.0,30.511384040776186
