, <=50K, >50K
 Bachelors,217.1482089678963,0.0
 HS-grad,293.32650485651675,22.89355445191414
 11th,125.73425390155175,140.96991307927584
 Masters,68.60053198508642,57.17378760179334
 9th,0.0,68.60053198508642
 Some-college,304.7532492398098,0.0
 Assoc-acdm,68.60053198508642,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,121.92533910712073,38.12921362963823
 Prof-school,57.17378760179334,148.5877426681379
 5th-6th,0.0,80.02727636837949
 10th,133.3520834904138,0.0
 1st-4th,0.0,53.364872807362325
 Preschool,0.0,0.0
 12th,0.0,30.511384040776186
