, <=50K, >50K
 Bachelors,304.88673303591,0.0
 HS-grad,386.08057317393025,0.0
 11th,203.39443286338485,162.79751279437477
 Masters,112.05136270811215,20.708292552839467
 9th,35.93213757871825,30.857522570091987
 Some-college,254.14058294964744,10.559062535586945
 Assoc-acdm,91.75290267360711,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,137.42443775124346,101.90213269085963
 Prof-school,56.23059761322329,254.14058294964744
 5th-6th,0.0,147.57366776849597
 10th,117.12597771673842,0.0
 1st-4th,132.3498227426172,112.05136270811215
 Preschool,41.00675258734451,0.0
 12th,0.0,142.49905275986973
