, <=50K, >50K
 Bachelors,197.44518763252145,1.039640792177133
 HS-grad,346.9479173169626,9.833919008908968
 11th,15.696771153396858,39.148179731348414
 Masters,18.628197225640804,71.39386652603181
 9th,1.039640792177133,42.079605803592365
 Some-college,247.2794308606685,18.628197225640804
 Assoc-acdm,47.94245794808025,0.0
 Assoc-voc,0.0,0.0
 7th-8th,12.765345081152912,0.0
 Doctorate,9.833919008908968,24.491049370128692
 Prof-school,62.599588309299975,88.98242295949548
 5th-6th,0.0,45.01103187583631
 10th,39.148179731348414,0.0
 1st-4th,0.0,59.66816223705603
 Preschool,0.0,0.0
 12th,0.0,0.0
