, <=50K, >50K
 Bachelors,176.0252605165757,60.497864509140705
 HS-grad,303.34116632068776,69.92867234648234
 11th,3.9130174850909123,0.0
 Masters,69.92867234648234,43.99395079379285
 9th,13.343825322432545,36.920844915786624
 Some-college,246.75631929663794,60.497864509140705
 Assoc-acdm,58.1401625498053,0.0
 Assoc-voc,20.416931200438768,0.0
 7th-8th,34.563142956451216,0.0
 Doctorate,10.986123363097137,18.05922924110336
 Prof-school,25.132335119109584,41.63624883445744
 5th-6th,0.0,20.416931200438768
 10th,10.986123363097137,0.0
 1st-4th,0.0,0.0
 Preschool,0.0,32.20544099711581
 12th,51.06705667179907,0.0
