, <=50K, >50K
 Bachelors,325.1851930704151,0.0
 HS-grad,243.99135293239493,0.0
 11th,213.54366288063736,162.79751279437477
 Masters,101.90213269085963,15.633677544213205
 9th,30.857522570091987,30.857522570091987
 Some-college,284.588273001405,0.0
 Assoc-acdm,96.82751768223338,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,137.42443775124346,96.82751768223338
 Prof-school,61.30521262184955,254.14058294964744
 5th-6th,0.0,147.57366776849597
 10th,96.82751768223338,0.0
 1st-4th,117.12597771673842,112.05136270811215
 Preschool,41.00675258734451,0.0
 12th,0.0,142.49905275986973
