, <=50K, >50K
 Bachelors,340.4090380962939,0.0
 HS-grad,243.99135293239493,0.0
 11th,218.61827788926362,172.94674281162727
 Masters,122.20059272536467,41.00675258734451
 9th,25.782907561465727,30.857522570091987
 Some-college,238.91673792376866,30.857522570091987
 Assoc-acdm,106.9767476994859,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,137.42443775124346,91.75290267360711
 Prof-school,56.23059761322329,254.14058294964744
 5th-6th,0.0,147.57366776849597
 10th,101.90213269085963,0.0
 1st-4th,117.12597771673842,112.05136270811215
 Preschool,41.00675258734451,0.0
 12th,0.0,142.49905275986973
