,red,white
0.0188,58.39010906663494,0.0
0.0391,0.0,156.21237982825076
0.0591,48.60788199047336,25.782685479429674
0.0792,38.82565491431178,55.129366707914414
0.0992,0.0,32.30417019687073
0.119,0.0,16.00045840326809
0.139,29.043427838150198,0.0
0.1595,0.0,12.739716044547565
0.18,64.91159378407599,45.34713963175283
0.2,0.0,22.521943120709146
0.22,2.9574889683859844,0.0
0.24,0.0,0.0
0.26,2.9574889683859844,6.218231327106511
0.28,0.0,0.0
0.3,0.0,58.39010906663494
0.32,2.9574889683859844,0.0
0.34,0.0,2.9574889683859844
0.36,22.521943120709146,0.0
0.38,0.0,2.9574889683859844
0.4,16.00045840326809,0.0
0.42,0.0,0.0
0.44,25.782685479429674,19.26120076198862
0.4605,0.0,0.0
0.481,29.043427838150198,0.0
0.501,19.26120076198862,0.0
0.521,0.0,2.9574889683859844
0.541,19.26120076198862,29.043427838150198
0.561,61.65085142535547,6.218231327106511
0.581,6.218231327106511,2.9574889683859844
0.601,12.739716044547565,0.0
