, <=50K, >50K
 Bachelors,197.44518763252145,0.0
 HS-grad,279.5251176553519,15.696771153396858
 11th,27.422475442372637,39.148179731348414
 Masters,21.559623297884748,62.599588309299975
 9th,0.0,42.079605803592365
 Some-college,244.34800478842456,12.765345081152912
 Assoc-acdm,47.94245794808025,0.0
 Assoc-voc,9.833919008908968,0.0
 7th-8th,18.628197225640804,0.0
 Doctorate,12.765345081152912,21.559623297884748
 Prof-school,65.53101438154393,91.91384903173943
 5th-6th,0.0,45.01103187583631
 10th,18.628197225640804,0.0
 1st-4th,0.0,59.66816223705603
 Preschool,0.0,0.0
 12th,18.628197225640804,0.0
