,red,white
0.1042,13.971112082188144,0.0
0.155,0.5087414436542684,76.79550839534623
0.205,0.0,72.30805151583493
0.255,9.483655202676852,58.845680877301064
0.305,0.0,81.28296527485752
0.355,13.971112082188144,36.4083964797446
0.405,40.895853359255895,2.7524698834099146
0.455,9.483655202676852,9.483655202676852
0.505,0.0,20.70229740145508
0.555,31.92093960023331,13.971112082188144
0.605,7.239926762921206,11.727383642432498
0.655,16.21484052194379,7.239926762921206
0.705,22.946025841210727,0.0
0.755,25.189754280966373,2.7524698834099146
0.805,9.483655202676852,16.21484052194379
0.855,4.996198323165561,0.0
0.905,0.0,0.0
0.955,18.458568961699434,13.971112082188144
1.005,4.996198323165561,9.483655202676852
1.055,0.0,0.0
1.105,4.996198323165561,0.5087414436542684
1.155,0.0,2.7524698834099146
1.205,22.946025841210727,0.0
1.255,25.189754280966373,2.7524698834099146
1.305,0.0,0.0
1.355,9.483655202676852,16.21484052194379
1.405,0.0,0.0
1.455,0.0,4.996198323165561
1.505,9.483655202676852,0.0
1.555,0.5087414436542684,0.0
