,red,white
0.0188,2.083906516358244,0.0
0.0391,0.0,174.7997860670669
0.0591,25.112690456452732,45.26287640403541
0.0792,0.0,0.0
0.0992,51.02007238905903,0.0
0.119,4.962504508870055,25.112690456452732
0.139,0.0,0.0
0.1595,0.0,39.50568041901179
0.18,0.0,0.0
0.2,0.0,19.355494471429108
0.22,0.0,0.0
0.24,0.0,0.0
0.26,4.962504508870055,30.869886441476353
0.28,0.0,16.476896478917297
0.3,0.0,0.0
0.32,30.869886441476353,19.355494471429108
0.34,4.962504508870055,0.0
0.36,2.083906516358244,7.841102501381865
0.38,22.23409246394092,0.0
0.4,0.0,7.841102501381865
0.42,0.0,0.0
0.44,0.0,0.0
0.4605,0.0,0.0
0.481,0.0,16.476896478917297
0.501,13.598298486405488,7.841102501381865
0.521,0.0,22.23409246394092
0.541,33.74848443398816,0.0
0.561,0.0,42.384278411523596
0.581,0.0,13.598298486405488
0.601,0.0,0.0
