,red,white
0.1042,10.144652004251842,0.0
0.155,4.308557100741708,0.0
0.205,45.16122142531265,39.32512652180251
0.255,0.0,10.144652004251842
0.305,0.0,0.0
0.355,50.99731632882278,33.48903161829238
0.405,0.0,0.0
0.455,0.0,86.01388574988358
0.505,0.0,68.50560103935318
0.555,0.0,0.0
0.605,0.0,4.308557100741708
0.655,115.19436026743425,45.16122142531265
0.705,0.0,74.34169594286331
0.755,80.17779084637345,74.34169594286331
0.805,0.0,33.48903161829238
0.855,45.16122142531265,80.17779084637345
0.905,39.32512652180251,0.0
0.955,0.0,27.652936714782243
1.005,62.669506135843044,10.144652004251842
1.055,45.16122142531265,50.99731632882278
1.105,0.0,0.0
1.155,0.0,86.01388574988358
1.205,21.81684181127211,21.81684181127211
1.255,0.0,33.48903161829238
1.305,0.0,0.0
1.355,39.32512652180251,74.34169594286331
1.405,0.0,0.0
1.455,4.308557100741708,0.0
1.505,45.16122142531265,27.652936714782243
1.555,0.0,45.16122142531265
