,red,white
0.988,2.896531704302439,0.0
0.99,0.0,163.02908432096274
0.9915,7.224438531779744,24.536065841688966
0.993,2.896531704302439,50.5035068065528
0.995,0.0,0.0
0.9965,41.847693151598186,0.0
0.998,0.0,72.14304094393933
1.0,2.896531704302439,93.78257508132585
1.002,33.19187949664358,0.0
1.0035,28.863972669166273,72.14304094393933
1.005,0.0,132.7337365286216
1.007,37.51978632412088,0.0
1.009,20.20815901421166,0.0
1.0105,67.81513411646202,2.896531704302439
1.012,15.880252186734355,119.75001604618969
1.014,59.159320461507406,33.19187949664358
1.016,72.14304094393933,0.0
1.0175,15.880252186734355,20.20815901421166
1.019,11.55234535925705,0.0
1.021,0.0,20.20815901421166
1.0225,111.09420239123507,0.0
1.024,0.0,0.0
1.026,20.20815901421166,24.536065841688966
1.028,0.0,11.55234535925705
1.0295,54.831413634030106,0.0
1.031,0.0,0.0
1.033,80.79885459889394,0.0
1.035,0.0,11.55234535925705
1.0365,50.5035068065528,24.536065841688966
1.038,0.0,0.0
